Corpus,File,Name,Verb,Age,Sent,Syntactic Object,Event or Object,Syntactic Object,Event or Object,Convergence,Comments,Comments
Brown,sarah069.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y7M16D'],we give her a permanent,permanent,,,,0,?,?
Brown,sarah069.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y7M16D'],can I give her a permanent now,permanent,,,,0,?,?
Brown,sarah069.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y7M16D'],can I give her a permanent now,permanent,,,,0,?,?
Brown,sarah069.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y7M16D'],no I just going to give her a permanent,permanent,,,,0,?,?
Brown,sarah071.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y7M30D'],will you give me some tea,tea,object,tea,object,object,,
Brown,sarah072.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y8M6D'],but you gave me a,,,,,0,,
Brown,sarah075.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y8M27D'],know what Easter_Bunny gave me,,,,,0,,?
Brown,sarah076.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y9M3D'],Mommy give him that nickle,nickle,object,nickle,object,object,,
Brown,sarah076.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y9M3D'],hey give me my pencil back,pencil,object,pencil,object,object,,
Brown,sarah076.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y9M3D'],I want to give it to Kent,,,,,0,,
Brown,sarah078.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y9M26D'],I will give you a good slap,slap,event,slap,event,event,,
Brown,sarah081.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y10M9D'],I'm gonna give you orange,orange,object,orange,object,object,,
Brown,sarah085.xml,['Sarah'],give|gives|given|gived|giving|gave,['P3Y11M16D'],want me give it to you,,,,,0,,
Brown,sarah089.xml,['Sarah'],give|gives|given|gived|giving|gave,['P4Y0M28D'],Daddy give me,,,,,0,,
Brown,sarah091.xml,['Sarah'],give|gives|given|gived|giving|gave,['P4Y1M11D'],you gave me a bunny,bunny,object,bunny,object,object,,
Brown,sarah091.xml,['Sarah'],give|gives|given|gived|giving|gave,['P4Y1M11D'],you gave me this,this,pronoun,this,pronoun,pronoun,,
Brown,sarah091.xml,['Sarah'],give|gives|given|gived|giving|gave,['P4Y1M11D'],you gave me this Melissa,this,pronoun,this,pronoun,pronoun,,
Brown,sarah091.xml,['Sarah'],give|gives|given|gived|giving|gave,['P4Y1M11D'],the one Martha gave me,,,,,0,?,
Brown,sarah095.xml,['Sarah'],give|gives|given|gived|giving|gave,['P4Y2M9D'],yup and gave me quarter,quarter,object,quarter,object,object,,?
Brown,sarah095.xml,['Sarah'],give|gives|given|gived|giving|gave,['P4Y2M9D'],you didn't gave me too much,much,pronoun,much,pronoun,pronoun,,
Brown,sarah095.xml,['Sarah'],give|gives|given|gived|giving|gave,['P4Y2M9D'],and Grampy gave me this,this,pronoun,this,pronoun,pronoun,,
Brown,sarah098.xml,['Sarah'],give|gives|given|gived|giving|gave,['P4Y2M28D'],I gave a bill to my Nana,bill,object,bill,object,object,,
Brown,sarah100.xml,['Sarah'],give|gives|given|gived|giving|gave,['P4Y3M13D'],I gave my favorite color,color,object,color,object,object,,
Brown,sarah100.xml,['Sarah'],give|gives|given|gived|giving|gave,['P4Y3M13D'],no give it to me,,,,,0,,
Brown,sarah105.xml,['Sarah'],give|gives|given|gived|giving|gave,['P4Y4M18D'],you gave me another thing,thing,object,thing,object,object,,
